"alias","name","Organism Taxon Id","represents","selected","shared name","type"
"PAF350/400|PAF400|STAF40|TR-AP|Tra1","TRRAP","9606","ncbigene:8295","false","TRRAP","protein"
"NBP16|PC2","CBX4","9606","ncbigene:8535","false","CBX4","protein"
"2410002I16Rik|5830420C16Rik|CFP1|CGBP|HsT2645|PCCX1|PHF18|SPP1|ZCGPC1|hCGBP","CXXC1","9606","ncbigene:30827","false","CXXC1","protein"
"CHD-4|Mi-2b|Mi2-BETA","CHD4","9606","ncbigene:1108","false","CHD4","protein"
,"MTA3","9606","ncbigene:57504","false","MTA3","protein"
,"MBD3","9606","ncbigene:53615","false","MBD3","protein"
"KMT2F|Set1|Set1A","SETD1A","9606","ncbigene:9739","false","SETD1A","protein"
"MRD18|P66beta|p68","GATAD2B","9606","ncbigene:57459","false","GATAD2B","protein"
"ALL-1|CXXC7|HRX|HTRX1|MLL|MLL/GAS7|MLL1|MLL1A|TET1-MLL|TRX1|WDSTS","KMT2A","9606","ncbigene:4297","false","KMT2A","protein"
"DMTase|NY-CO-41","MBD2","9606","ncbigene:8932","false","MBD2","protein"
"MTA1L1|PID","MTA2","9606","ncbigene:9219","false","MTA2","protein"
"ATL1|ATL1-alpha|ATL1-beta|ATL1-delta|ATL1-gamma|CTIP-2|CTIP2|RIT1|ZNF856B|hRIT1-alpha","BCL11B","9606","ncbigene:64919","false","BCL11B","protein"
"HD2|RPD3|YAF1","HDAC2","9606","ncbigene:3066","false","HDAC2","protein"
"CHET9|JJAZ1","SUZ12","9606","ncbigene:23512","false","SUZ12","protein"
"DELTA|INO80S|NF-E1|UCRBP|YIN-YANG-1","YY1","9606","ncbigene:7528","false","YY1","protein"
"NF45|PRO3063","ILF2","9606","ncbigene:3608","false","ILF2","protein"
"CBTF|DRBF|DRBP76|MMP4|MPHOSPH4|MPP4|NF-AT-90|NF110|NF110b|NF90|NF90a|NF90b|NFAR|NFAR-1|NFAR2|TCP110|TCP80","ILF3","9606","ncbigene:3609","false","ILF3","protein"
"TFIIIC63|TFIIICepsilon|TFiiiC2-63","GTF3C5","9606","ncbigene:9328","false","GTF3C5","protein"
"NP220|ZFML|Zfp638","ZNF638","9606","ncbigene:27332","false","ZNF638","protein"
,"ZNF512","9606","ncbigene:84450","false","ZNF512","protein"
"CAGH1|CAGH1A|CIZ|ERDA2|NMP4|NP|TNRC1","ZNF384","9606","ncbigene:171017","false","ZNF384","protein"
"SRK|STCD|STD|TZK|ZAP-70","ZAP70","9606","ncbigene:7535","false","ZAP70","protein"
"BP-8|CSDA2|CSDB|DBPB|MDR-NF1|NSEP-1|NSEP1|YB-1|YB1","YBX1","9606","ncbigene:4904","false","YBX1","protein"
"CRM1|emb|exp1","XPO1","9606","ncbigene:7514","false","XPO1","protein"
"MMSET|NSD2|REIIBP|TRX5|WHS","WHSC1","9606","ncbigene:7468","false","WHSC1","protein"
"C17orf40|HCA66","UTP6","9606","ncbigene:55813","false","UTP6","protein"
"NOR-90|UBF|UBF-1|UBF1|UBF2","UBTF","9606","ncbigene:7343","false","UBTF","protein"
"COXPD4|EF-TuMT|EFTU|P43","TUFM","9606","ncbigene:7284","false","TUFM","protein"
"LAP1|LAP1B","TOR1AIP1","9606","ncbigene:26092","false","TOR1AIP1","protein"
"TOP2|TP2A","TOP2A","9606","ncbigene:7153","false","TOP2A","protein"
"CMD1T|LAP2|LEMD4|PRO0868|TP","TMPO","9606","ncbigene:7112","false","TMPO","protein"
"HPR1|P84|P84N5","THOC1","9606","ncbigene:9984","false","THOC1","protein"
"SAZD|UTP13","TBL3","9606","ncbigene:10607","false","TBL3","protein"
"Npl3|RBP56|TAF2N|TAFII68","TAF15","9606","ncbigene:8148","false","TAF15","protein"
"39K2|39K3","STAU2","9606","ncbigene:27067","false","STAU2","protein"
"FACT|FACT80|T160","SSRP1","9606","ncbigene:6749","false","SSRP1","protein"
"HIAA0929|MINT|RBM15C|SHARP","SPEN","9606","ncbigene:23013","false","SPEN","protein"
"EVI16","SOX4","9606","ncbigene:6659","false","SOX4","protein"
"ASCC3L1|BRR2|HELIC2|RP33|U5-200KD","SNRNP200","9606","ncbigene:23020","false","SNRNP200","protein"
